Date,All_Items,Food
2009-01-01,90.15271440543812,89.45977277996752
2009-02-01,90.82782381972251,90.21562717366103
2009-03-01,91.36325542415494,90.94365870623696
2009-04-01,91.89868702858739,91.62068166009738
2009-05-01,93.59344445479095,93.4987247855321
2009-06-01,95.32079336995996,95.59935079990726
2009-07-01,97.29025048887235,97.86691398098772
2009-08-01,98.3890492597076,98.89635984233712
2009-09-01,98.88257752118447,99.48527706932528
2009-10-01,99.352826147686,99.92116856016693
2009-11-01,100.0,100.0
2009-12-01,102.15362108067139,102.39933802299254
2010-01-01,103.132596576434,103.70029585141806
2010-02-01,105.0412134779151,104.838226363372
2010-03-01,104.89575369643057,105.30331664178183
2010-04-01,105.7237498214395,106.55992390589984
2010-05-01,105.68100672692285,105.67515786037292
2010-06-01,108.76,109.99
2010-07-01,109.94,111.61
2010-08-01,111.87,113.82
2010-09-01,112.38,113.98
2010-10-01,112.71543735655166,113.97514461579244
2010-11-01,112.76600373499758,114.35070506958525
2010-12-01,114.22340168260419,115.40469908550966
2011-01-01,115.59066922154071,114.3348045299056
2011-02-01,116.70061657210076,117.65090227318471
2011-03-01,118.30051671779931,118.11742215010975
2011-04-01,117.66131617063078,118.95148102822748
2011-05-01,118.7348597766138,118.54535336977506
2011-06-01,119.88634664478221,120.13102797681256
2011-07-01,120.2714833022603,120.40148406481944
2011-08-01,122.27471859112126,123.68216801449353
2011-09-01,123.99900399125538,124.78450726701053
2011-10-01,124.60065849033249,124.98067740430355
2011-11-01,124.65154628571642,125.35433161364863
2011-12-01,125.9690237278369,128.1227446948141
2012-01-01,130.18511156183197,129.2584023633375
2012-02-01,130.547945278862,129.0968277836185
2012-03-01,132.6277723422415,132.11217229467476
2012-04-01,132.79922295659264,132.3283662348506
2012-05-01,133.8002920372419,133.88756369626367
2012-06-01,135.342071582201,134.5364978079146
2012-07-01,135.66247676313074,134.9612974111717
2012-08-01,136.56774345791126,135.9393944359532
2012-09-01,137.9526004180655,137.46714745040055
2012-10-01,139.17068293579032,138.8085439109911
2012-11-01,140.00870332239566,139.8362366848973
2012-12-01,141.06147887599616,141.1904391460819
2013-01-01,141.94242593503455,142.32078961641432
2013-02-01,143.00478978985183,143.26219436598842
2013-03-01,144.02484802931767,144.63922651698022
