INDICATOR,Date,Value
Prime Lending Rate Of Commercial Banks,2024-03-01,15.7
Savings Rate,2024-04-01,6.29
Prime Lending Rate Of Commercial Banks,2024-04-01,15.54
Savings Rate,2024-05-01,6.68
Prime Lending Rate Of Commercial Banks,2024-05-01,15.54
Savings Rate,2024-06-01,6.67
Prime Lending Rate Of Commercial Banks,2024-06-01,15.85
Savings Rate,2024-07-01,6.74
Prime Lending Rate Of Commercial Banks,2024-07-01,15.89
Savings Rate,2024-08-01,6.75
Prime Lending Rate Of Commercial Banks,2024-08-01,17.01
Savings Rate,2024-09-01,6.79
Prime Lending Rate Of Commercial Banks,2024-09-01,16.75
Savings Rate,2024-10-01,7.56
Prime Lending Rate Of Commercial Banks,2024-10-01,17.36
Savings Rate,2024-11-01,6.56
Prime Lending Rate Of Commercial Banks,2024-11-01,18.39
Savings Rate,2024-12-01,7.51
Prime Lending Rate Of Commercial Banks,2024-12-01,18.56
Savings Rate,2025-01-01,7.5
Prime Lending Rate Of Commercial Banks,2025-01-01,18.49
Savings Rate,2025-02-01,7.51
Prime Lending Rate Of Commercial Banks,2025-02-01,18.35
Savings Rate,2025-03-01,7.5
Prime Lending Rate Of Commercial Banks,2025-03-01,17.96
