,Best Alpha,MAE,RMSE,R²,Train Score,Test Score,Gap
Ridge,0.01,0.025147877740176284,0.0012915293498619168,0.9986286140130195,-0.011256251308086777,-0.03593785399633535,0.024681602688248577
Lasso,0.01,0.07851341953629704,0.007938954463214751,0.9915701715154263,-0.04914029386605686,-0.08910081067652949,0.03996051681047263
